subfield_id,field_id,name_en,slug,paper_count_total
molecular_biology,biochemistry_genetics_and_molecular_biology,Molecular Biology,molecular-biology,1002638
electrical_and_electronic_engineering,engineering,Electrical and Electronic Engineering,electrical-and-electronic-engineering,848937
sociology_and_political_science,social_sciences,Sociology and Political Science,sociology-and-political-science,685487
surgery,medicine,Surgery,surgery,633773
biomedical_engineering,engineering,Biomedical Engineering,biomedical-engineering,554557
materials_chemistry,materials_science,Materials Chemistry,materials-chemistry,550065
plant_science,agricultural_and_biological_sciences,Plant Science,plant-science,504355
epidemiology,medicine,Epidemiology,epidemiology,477943
pulmonary_and_respiratory_medicine,medicine,Pulmonary and Respiratory Medicine,pulmonary-and-respiratory-medicine,458147
public_health_environmental_and_occupational_health,medicine,"Public Health, Environmental and Occupational Health",public-health-environmental-and-occupational-health,407697
mechanical_engineering,engineering,Mechanical Engineering,mechanical-engineering,400320
oncology,medicine,Oncology,oncology,365391
artificial_intelligence,computer_science,Artificial Intelligence,artificial-intelligence,363850
education,social_sciences,Education,education,354240
economics_and_econometrics,economics_econometrics_and_finance,Economics and Econometrics,economics-and-econometrics,332118
cardiology_and_cardiovascular_medicine,medicine,Cardiology and Cardiovascular Medicine,cardiology-and-cardiovascular-medicine,320717
political_science_and_international_relations,social_sciences,Political Science and International Relations,political-science-and-international-relations,308887
general_health_professions,health_professions,General Health Professions,general-health-professions,299642
clinical_psychology,psychology,Clinical Psychology,clinical-psychology,295709
physiology,medicine,Physiology,physiology,292714
genetics,biochemistry_genetics_and_molecular_biology,Genetics,genetics,274352
organic_chemistry,chemistry,Organic Chemistry,organic-chemistry,272095
atomic_and_molecular_physics_and_optics,physics_and_astronomy,"Atomic and Molecular Physics, and Optics",atomic-and-molecular-physics-and-optics,269021
infectious_diseases,medicine,Infectious Diseases,infectious-diseases,255936
civil_and_structural_engineering,engineering,Civil and Structural Engineering,civil-and-structural-engineering,248053
radiology_nuclear_medicine_and_imaging,medicine,"Radiology, Nuclear Medicine and Imaging",radiology-nuclear-medicine-and-imaging,247167
ecology,environmental_science,Ecology,ecology,246193
cognitive_neuroscience,neuroscience,Cognitive Neuroscience,cognitive-neuroscience,229965
astronomy_and_astrophysics,physics_and_astronomy,Astronomy and Astrophysics,astronomy-and-astrophysics,228176
global_and_planetary_change,environmental_science,Global and Planetary Change,global-and-planetary-change,227812
aerospace_engineering,engineering,Aerospace Engineering,aerospace-engineering,223800
information_systems,computer_science,Information Systems,information-systems,222379
control_and_systems_engineering,engineering,Control and Systems Engineering,control-and-systems-engineering,216414
social_psychology,psychology,Social Psychology,social-psychology,206418
computer_vision_and_pattern_recognition,computer_science,Computer Vision and Pattern Recognition,computer-vision-and-pattern-recognition,202568
immunology,immunology_and_microbiology,Immunology,immunology,199251
renewable_energy_sustainability_and_the_environment,energy,"Renewable Energy, Sustainability and the Environment",renewable-energy-sustainability-and-the-environment,197304
mechanics_of_materials,engineering,Mechanics of Materials,mechanics-of-materials,191233
food_science,agricultural_and_biological_sciences,Food Science,food-science,180720
psychiatry_and_mental_health,medicine,Psychiatry and Mental health,psychiatry-and-mental-health,176531
pathology_and_forensic_medicine,medicine,Pathology and Forensic Medicine,pathology-and-forensic-medicine,175157
endocrinology_diabetes_and_metabolism,medicine,"Endocrinology, Diabetes and Metabolism",endocrinology-diabetes-and-metabolism,174888
pediatrics_perinatology_and_child_health,medicine,"Pediatrics, Perinatology and Child Health",pediatrics-perinatology-and-child-health,174045
neurology,medicine,Neurology,neurology,172930
nuclear_and_high_energy_physics,physics_and_astronomy,Nuclear and High Energy Physics,nuclear-and-high-energy-physics,170099
cancer_research,biochemistry_genetics_and_molecular_biology,Cancer Research,cancer-research,168252
computer_networks_and_communications,computer_science,Computer Networks and Communications,computer-networks-and-communications,164058
ecology_evolution_behavior_and_systematics,agricultural_and_biological_sciences,"Ecology, Evolution, Behavior and Systematics",ecology-evolution-behavior-and-systematics,149612
strategy_and_management,business_management_and_accounting,Strategy and Management,strategy-and-management,149266
electronic_optical_and_magnetic_materials,materials_science,"Electronic, Optical and Magnetic Materials",electronic-optical-and-magnetic-materials,147306
pharmacology,medicine,Pharmacology,pharmacology,141997
building_and_construction,engineering,Building and Construction,building-and-construction,138835
rheumatology,medicine,Rheumatology,rheumatology,134408
